bcat,kras,label
0.66033167,0.33966827,0
0.7233919,0.2766081,0
0.5845372,0.41546285,0
0.88246906,0.11753093,0
0.9175504,0.08244961,0
0.9324948,0.067505196,0
0.5122995,0.48770052,0
0.4924496,0.5075503,0
0.6782435,0.32175645,0
0.5142545,0.4857455,0
0.48313335,0.5168667,0
0.3933121,0.6066879,0
0.8741395,0.12586048,0
0.932591,0.067408934,0
0.7090543,0.2909457,0
0.6552808,0.34471917,0
0.6687821,0.33121786,0
0.7092814,0.2907186,0
0.59241325,0.40758675,0
0.6239202,0.37607977,0
0.59263194,0.40736803,0
0.5306031,0.46939683,0
0.6737317,0.32626837,0
0.9770622,0.022937786,0
0.64268625,0.3573137,0
0.8813776,0.118622415,0
0.7110841,0.2889159,0
0.6850562,0.31494376,0
0.94768393,0.052316137,0
0.5674307,0.43256932,0
0.60325015,0.39674982,0
0.68319654,0.3168035,0
0.6152605,0.3847395,0
0.7706581,0.22934188,0
0.8561002,0.14389984,0
0.74926335,0.25073662,0
0.55282545,0.44717452,0
0.7594275,0.2405725,0
0.9273878,0.072612286,0
0.7539561,0.24604395,0
0.7139742,0.2860259,0
0.9362842,0.063715786,0
0.6392351,0.36076492,0
0.600731,0.39926898,0
0.56755316,0.4324469,0
0.6502217,0.34977823,0
0.68048066,0.31951937,0
0.9701427,0.02985726,0
0.5509188,0.4490812,0
0.59367967,0.40632036,0
0.7668906,0.23310946,0
0.72077614,0.2792239,0
0.7306134,0.26938656,0
0.6844697,0.3155303,0
0.9181635,0.08183648,0
0.54006726,0.45993266,0
0.9572261,0.042773865,0
0.6092766,0.39072338,0
0.4214478,0.5785522,0
0.6082478,0.39175218,0
0.7954439,0.20455608,0
0.66245127,0.3375487,0
0.64655197,0.35344803,0
0.6190745,0.38092548,0
0.76509786,0.23490217,0
0.6558256,0.34417433,0
0.78460467,0.21539532,0
0.86723596,0.13276406,0
0.63105756,0.36894244,0
0.5409754,0.45902464,0
0.58058757,0.4194124,0
0.75663143,0.24336857,0
0.8474984,0.15250157,0
0.8524799,0.14752012,0
0.7807049,0.2192951,0
0.8833485,0.11665152,0
0.62702537,0.37297463,0
0.9065438,0.09345622,0
0.62556756,0.37443244,0
0.6237422,0.37625784,0
0.74380845,0.2561915,0
0.7303583,0.26964167,0
0.9708793,0.029120719,0
0.9640288,0.035971258,0
0.8835888,0.11641127,0
0.6191276,0.3808725,0
0.7594278,0.24057223,0
0.7176329,0.2823671,0
0.7093952,0.29060477,0
0.7524155,0.2475845,0
0.50882983,0.49117014,0
0.6139865,0.38601348,0
0.50260085,0.49739912,0
0.61854345,0.3814566,0
0.70321923,0.29678074,0
0.6137515,0.3862485,0
0.5708735,0.42912644,0
0.7690833,0.23091666,0
0.89607704,0.10392296,0
0.96031773,0.039682265,0
0.60027575,0.39972427,0
0.545797,0.45420298,0
0.66679674,0.33320326,0
0.80215514,0.19784485,0
0.9702729,0.02972708,0
0.83275336,0.16724662,0
0.6659449,0.33405513,0
0.73658377,0.26341626,0
0.727037,0.27296308,0
0.46762708,0.5323729,0
0.62505937,0.37494066,0
0.52896225,0.4710378,0
0.47750226,0.5224977,0
0.7843181,0.2156819,0
0.8520019,0.14799812,0
0.23829165,0.7617084,0
0.6964927,0.3035073,0
0.9239993,0.07600074,0
0.6937255,0.30627453,0
0.89507824,0.10492177,0
0.65407455,0.3459255,0
0.6941894,0.30581057,0
0.59174824,0.4082518,0
0.5983017,0.40169832,0
0.6893445,0.31065547,0
0.62586504,0.37413496,0
0.7690546,0.23094542,0
0.64927536,0.35072458,0
0.6039559,0.3960441,0
0.76252925,0.23747072,0
0.5381103,0.46188965,0
0.62246245,0.37753755,0
0.57449913,0.4255009,0
0.52578384,0.47421613,0
0.6883313,0.31166872,0
0.86416847,0.13583155,0
0.849206,0.15079395,0
0.64258724,0.35741267,0
0.8308049,0.16919512,0
0.5792392,0.4207608,0
0.7841168,0.21588318,0
0.87503046,0.12496957,0
0.6598044,0.34019563,0
0.75849503,0.24150492,0
0.5858036,0.41419634,0
0.59715265,0.40284732,0
0.71399844,0.28600153,0
0.48538822,0.5146118,0
0.72521526,0.27478468,0
0.45725706,0.5427429,0
0.62259066,0.37740934,0
0.8474713,0.15252873,0
0.9682031,0.03179688,0
0.6453025,0.35469756,0
0.8262011,0.17379889,0
0.5984256,0.4015744,0
0.7420084,0.25799164,0
0.44299504,0.557005,0
0.5388191,0.46118093,0
0.6663814,0.33361858,0
0.7244541,0.27554584,0
0.5335428,0.46645716,0
0.5946524,0.40534765,0
0.77740544,0.22259457,0
0.7846716,0.21532838,0
0.86245614,0.13754387,0
0.85736924,0.14263073,0
0.7755968,0.22440319,0
0.7833006,0.2166994,0
0.77406955,0.22593045,0
0.59159434,0.40840563,0
0.75808084,0.24191916,0
0.5194795,0.48052046,0
0.7109766,0.28902343,0
0.8379568,0.16204315,0
0.7138791,0.28612092,0
0.7893941,0.21060595,0
0.64148414,0.35851586,0
0.6320801,0.3679199,0
0.46491858,0.53508145,0
0.9794136,0.020586401,0
0.62235266,0.3776473,0
0.55392164,0.4460784,0
0.8827367,0.11726329,0
0.97344625,0.026553754,0
0.6682381,0.33176193,0
0.88792044,0.11207957,0
0.9106567,0.08934325,0
0.56063634,0.43936357,0
0.6202752,0.37972483,0
0.7127423,0.28725764,0
0.6892912,0.31070885,0
0.7849902,0.21500975,0
0.72008926,0.27991068,0
0.46766925,0.53233075,0
0.86589706,0.134103,0
0.6002172,0.39978275,0
0.6648121,0.33518794,0
0.9180591,0.081940934,0
0.8767517,0.12324828,0
0.60412264,0.3958774,0
0.481926,0.518074,0
0.95547813,0.044521857,0
0.6588553,0.34114465,0
0.8521146,0.14788547,0
0.972061,0.027939072,0
0.6150667,0.38493332,0
0.6186046,0.3813954,0
0.55371416,0.44628587,0
0.6657563,0.33424369,0
0.4405579,0.5594421,0
0.5883375,0.41166252,0
0.76525867,0.23474132,0
0.6257305,0.37426957,0
0.53743786,0.46256223,0
0.6410759,0.3589241,0
0.7608582,0.23914185,0
0.6437376,0.35626242,0
0.7247504,0.2752496,0
0.5612888,0.4387112,0
0.93099856,0.069001414,0
0.55571663,0.4442833,0
0.67642987,0.32357013,0
0.73846495,0.26153505,0
0.80170786,0.1982921,0
0.8680316,0.1319684,0
0.5588935,0.4411065,0
0.3587636,0.64123636,0
0.5349453,0.4650547,0
0.6031212,0.39687878,0
0.64284647,0.35715353,0
0.6300853,0.36991468,0
0.6704865,0.32951352,0
0.6646309,0.33536908,0
0.9595442,0.040455762,0
0.72328174,0.27671826,0
0.8657412,0.13425876,0
0.6589035,0.34109652,0
0.63794464,0.36205545,0
0.69127464,0.30872542,0
0.62319154,0.37680846,0
0.81634957,0.18365042,0
0.6495966,0.3504035,0
0.85637087,0.14362916,0
0.6162168,0.3837832,0
0.7904102,0.20958972,0
0.4372948,0.5627052,0
0.600407,0.39959297,0
0.7828384,0.21716158,0
0.78038573,0.21961431,0
0.7226789,0.27732116,0
0.8264905,0.1735095,0
0.6570537,0.3429463,0
0.72753954,0.2724605,0
0.8049958,0.1950042,0
0.57076675,0.42923325,0
0.81255,0.18744999,0
0.6853498,0.31465015,0
0.777086,0.22291397,0
0.8711609,0.12883906,0
0.5448827,0.45511732,0
0.8902025,0.10979743,0
0.9573861,0.04261393,0
0.6102048,0.3897951,0
0.6914006,0.3085994,0
0.7227622,0.2772378,0
0.53800166,0.4619984,0
0.6299977,0.37000233,0
0.68455195,0.31544808,0
0.6802455,0.31975448,0
0.9248152,0.075184844,0
0.97074324,0.029256763,0
0.6427873,0.35721272,0
0.7997504,0.20024961,0
0.6298202,0.37017977,0
0.6459216,0.35407847,0
0.64233947,0.3576605,0
0.5895442,0.41045573,0
0.6397761,0.3602239,0
0.63418305,0.36581692,0
0.87381786,0.12618212,0
0.79234815,0.20765188,0
0.92153126,0.078468695,0
0.51791817,0.48208183,0
0.7283672,0.27163276,0
0.6195191,0.38048086,0
0.59761935,0.4023807,0
0.71005905,0.2899409,0
0.7578601,0.24213992,0
0.6304616,0.3695384,0
0.5942698,0.4057302,0
0.77424455,0.22575544,0
0.69340396,0.306596,0
0.37053725,0.6294627,0
0.7805545,0.21944557,0
0.98566437,0.014335649,0
0.56872344,0.4312765,0
0.9604177,0.03958234,0
0.4880226,0.5119774,0
0.69695854,0.30304155,0
0.6627978,0.3372022,0
0.79819286,0.2018071,0
0.80376107,0.19623893,0
0.5418278,0.45817217,0
0.8433647,0.15663527,0
0.50972897,0.49027097,0
0.9547193,0.045280688,0
0.5537365,0.4462635,0
0.6963152,0.30368477,0
0.6843129,0.3156871,0
0.8530774,0.14692256,0
0.8600691,0.13993098,0
0.8524566,0.14754333,0
0.87182283,0.12817718,0
0.36299625,0.6370037,0
0.71194965,0.28805035,0
0.5929986,0.40700135,0
0.82390016,0.1760998,0
0.89263207,0.10736797,0
0.5812092,0.41879088,0
0.92604893,0.07395104,0
0.7423372,0.25766283,0
0.6219666,0.37803334,0
0.69625115,0.30374888,0
0.7484179,0.25158203,0
0.56703526,0.43296474,0
0.6436291,0.35637096,0
0.94723,0.05276998,0
0.63348657,0.36651346,0
0.6858821,0.31411788,0
0.6908738,0.3091262,0
0.47787493,0.5221251,0
0.88881373,0.111186296,0
0.66834754,0.33165246,0
0.64718825,0.35281172,0
0.59933424,0.40066573,0
0.656543,0.34345698,0
0.4738904,0.5261096,0
0.9285808,0.07141918,0
0.63089395,0.36910602,0
0.79258794,0.20741202,0
0.799653,0.20034698,0
0.6508875,0.34911248,0
0.62250197,0.37749803,0
0.6144824,0.38551763,0
0.69828606,0.3017139,0
0.71001095,0.2899891,0
0.7028171,0.29718295,0
0.6528635,0.34713653,0
0.6139824,0.3860176,0
0.9165982,0.0834018,0
0.5600767,0.43992326,0
0.56833607,0.43166393,0
0.5594501,0.4405499,0
0.71669996,0.28330007,0
0.6575883,0.34241167,0
0.90468204,0.09531799,0
0.58664775,0.41335228,0
0.5330128,0.4669872,0
0.70977575,0.29022422,0
0.64379317,0.35620683,0
0.9026097,0.09739032,0
0.60271853,0.3972815,0
0.002349271,0.9976507,1
0.6597529,0.34024704,1
0.0013075143,0.99869245,1
0.0030708325,0.9969292,1
0.6162505,0.3837495,1
0.61359614,0.38640383,1
0.001589863,0.9984101,1
0.7058007,0.29419935,1
0.06386803,0.93613195,1
0.6421476,0.35785243,1
0.005191328,0.9948087,1
0.5508611,0.44913888,1
0.029796164,0.97020376,1
0.20786977,0.7921303,1
0.7126825,0.28731754,1
0.0018460943,0.99815387,1
0.7274077,0.27259228,1
0.63287884,0.36712116,1
0.6135443,0.38645577,1
0.004092747,0.9959072,1
0.119465575,0.88053435,1
0.003864285,0.9961357,1
0.012921945,0.9870781,1
0.0076727727,0.99232715,1
0.81053424,0.18946573,1
0.058772653,0.9412274,1
0.001387627,0.9986124,1
0.7366594,0.2633406,1
0.73807853,0.26192147,1
0.033258267,0.9667417,1
0.0010252721,0.9989748,1
0.0014799449,0.9985201,1
0.70044607,0.29955393,1
0.88971496,0.11028506,1
0.0016518672,0.9983481,1
0.005234427,0.9947655,1
0.6738415,0.32615852,1
0.0015466926,0.99845326,1
0.19467244,0.80532753,1
0.40660083,0.59339917,1
0.0009497219,0.9990503,1
0.91636175,0.08363832,1
0.0014884043,0.9985116,1
0.61856914,0.38143083,1
0.00453844,0.9954615,1
0.0012167089,0.9987833,1
0.0222529,0.97774714,1
0.00090773386,0.9990922,1
0.6866516,0.31334844,1
0.54189473,0.45810527,1
0.15644221,0.84355783,1
0.60322756,0.3967724,1
0.5841362,0.4158638,1
0.5303341,0.46966586,1
0.120930396,0.8790696,1
0.0014324316,0.9985676,1
0.004358563,0.99564147,1
0.0040887254,0.99591124,1
0.0015794581,0.9984206,1
0.5933906,0.40660942,1
0.61362135,0.38637862,1
0.6479792,0.35202077,1
0.7160474,0.28395256,1
0.1576015,0.8423985,1
0.50349474,0.49650526,1
0.7821495,0.21785049,1
0.0063788635,0.9936212,1
0.0023487774,0.9976513,1
0.20300312,0.7969969,1
0.009619306,0.9903807,1
0.71241754,0.28758255,1
0.7240359,0.27596402,1
0.035408713,0.9645913,1
0.013113943,0.986886,1
0.0006327469,0.9993673,1
0.35820726,0.6417928,1
0.6129405,0.38705954,1
0.0021359182,0.99786407,1
0.8659393,0.13406065,1
0.40058148,0.5994185,1
0.0013409085,0.99865913,1
0.6802447,0.31975532,1
0.0035930662,0.99640685,1
0.0029185514,0.99708146,1
0.001531264,0.9984687,1
0.6408692,0.3591308,1
0.0029465659,0.9970534,1
0.65818477,0.3418152,1
0.003682744,0.99631727,1
0.73554504,0.26445496,1
0.5473162,0.4526838,1
0.26152843,0.73847157,1
0.07554382,0.9244562,1
0.0010501607,0.9989498,1
0.66058147,0.3394185,1
0.07649993,0.92350006,1
0.69939464,0.30060536,1
0.76451445,0.23548555,1
0.0009917316,0.99900824,1
0.6974436,0.30255646,1
0.7031314,0.29686862,1
0.5955386,0.40446135,1
0.57272404,0.427276,1
0.7135533,0.28644672,1
0.70261633,0.29738367,1
0.09526555,0.90473443,1
0.7300152,0.2699848,1
0.0012916526,0.99870837,1
0.66252977,0.33747023,1
0.037614867,0.9623851,1
0.5416709,0.45832905,1
0.49280584,0.50719416,1
0.0030921327,0.9969079,1
0.50209993,0.49790007,1
0.004152084,0.99584794,1
0.0027865823,0.9972134,1
0.006637374,0.99336267,1
0.001608549,0.99839145,1
0.63479733,0.36520272,1
0.6401497,0.3598502,1
0.015271494,0.9847285,1
0.0010018179,0.9989982,1
0.84310704,0.15689296,1
0.61317176,0.38682824,1
0.0015205852,0.9984794,1
0.5250265,0.47497347,1
0.1225071,0.87749296,1
0.59977245,0.40022752,1
0.5995899,0.4004101,1
0.7583276,0.2416724,1
0.0014807195,0.99851924,1
0.6859101,0.31408992,1
0.62399936,0.37600064,1
0.50920755,0.4907924,1
0.40118772,0.5988123,1
0.0010737895,0.9989262,1
0.012534228,0.9874658,1
0.029495088,0.97050494,1
0.002083404,0.99791664,1
0.0037474243,0.99625254,1
0.0011811823,0.9988188,1
0.84342897,0.15657099,1
0.0021122633,0.9978878,1
0.003044409,0.99695563,1
0.0009170661,0.9990829,1
0.6303944,0.36960554,1
0.65459025,0.34540972,1
0.004041182,0.99595886,1
0.6440871,0.3559129,1
0.5048429,0.49515703,1
0.010701338,0.9892987,1
0.6448706,0.35512942,1
0.0029322878,0.99706775,1
0.01720128,0.98279876,1
0.50514907,0.49485102,1
0.0022986159,0.99770135,1
0.001185172,0.9988148,1
0.0065229973,0.99347705,1
0.45409197,0.54590803,1
0.00073517405,0.9992648,1
0.17271152,0.82728845,1
0.001721899,0.99827814,1
0.021686867,0.9783132,1
0.6398136,0.36018643,1
0.72027034,0.27972972,1
0.551708,0.44829202,1
0.5071957,0.49280435,1
0.0016763117,0.9983236,1
0.0016334498,0.99836653,1
0.0060070083,0.993993,1
0.0018240286,0.998176,1
0.6236581,0.3763419,1
0.5938967,0.40610328,1
0.040380336,0.95961964,1
0.23081231,0.7691877,1
0.0029305317,0.99706954,1
0.6102706,0.38972935,1
0.00486142,0.9951385,1
0.0049988227,0.99500114,1
0.9737028,0.026297184,1
0.0010782778,0.99892175,1
0.0020875956,0.99791235,1
0.6244255,0.37557456,1
0.5619974,0.4380026,1
0.7921413,0.20785864,1
0.0018670612,0.998133,1
0.9174792,0.08252074,1
0.006045725,0.99395424,1
0.19586569,0.80413425,1
0.004790025,0.99521,1
0.38453057,0.6154694,1
0.76828283,0.23171724,1
0.5416422,0.45835775,1
0.0028105942,0.99718946,1
0.003981971,0.996018,1
0.0021307059,0.99786925,1
0.8013014,0.19869861,1
0.62146664,0.3785333,1
0.0043031476,0.9956969,1
0.028156165,0.97184384,1
0.001687124,0.99831283,1
0.0022859222,0.99771404,1
0.0027440365,0.997256,1
0.7472186,0.25278136,1
0.0009152152,0.99908483,1
0.018568285,0.9814317,1
0.5697681,0.43023196,1
0.06292526,0.9370748,1
0.79098195,0.20901802,1
0.59484106,0.405159,1
0.011236092,0.9887639,1
0.64685756,0.35314244,1
0.0013517194,0.99864835,1
0.005524536,0.9944754,1
0.016542584,0.98345745,1
0.0006402642,0.9993598,1
0.28989926,0.7101007,1
0.68943405,0.31056598,1
0.0010933975,0.9989066,1
0.05983897,0.940161,1
0.5276597,0.4723403,1
0.64486593,0.3551341,1
0.001344042,0.9986559,1
0.5725158,0.42748418,1
0.65665257,0.3433474,1
0.31231213,0.6876879,1
0.0012261827,0.99877375,1
0.27664316,0.72335684,1
0.0007836885,0.9992163,1
0.003048561,0.99695146,1
0.05187182,0.9481282,1
0.0024415443,0.9975585,1
0.6460227,0.3539774,1
0.6587094,0.3412906,1
0.0019962739,0.9980038,1
0.6875591,0.31244084,1
0.0011719608,0.998828,1
0.0018472229,0.9981528,1
0.5984659,0.4015341,1
0.55006033,0.4499397,1
0.44588372,0.5541163,1
0.5361838,0.46381623,1
0.0010951211,0.9989048,1
0.0052455426,0.99475443,1
0.0014873997,0.99851257,1
0.9481844,0.051815584,1
0.41245797,0.58754206,1
0.74415106,0.25584897,1
0.0017859914,0.998214,1
0.5038824,0.4961176,1
0.0026098709,0.9973902,1
0.5214523,0.4785477,1
0.21059689,0.78940314,1
0.0009992841,0.9990007,1
0.50739026,0.49260974,1
0.8558171,0.14418288,1
0.7444093,0.2555907,1
0.001997901,0.9980021,1
0.6795024,0.32049766,1
0.6507651,0.34923485,1
0.6680157,0.3319843,1
0.46223927,0.53776073,1
0.0013589608,0.9986411,1
0.80191857,0.1980814,1
0.00097395014,0.99902606,1
0.7085683,0.29143173,1
0.0013355471,0.9986645,1
0.43842733,0.5615727,1
0.64613414,0.35386586,1
0.5756539,0.42434615,1
0.41288885,0.5871112,1
0.0011530212,0.998847,1
0.056404244,0.94359577,1
0.0016981531,0.99830186,1
0.0010675906,0.9989324,1
0.0015229116,0.99847704,1
0.5887046,0.4112954,1
0.0049574063,0.99504256,1
0.0023016867,0.99769837,1
0.64347726,0.35652277,1
0.38844928,0.6115507,1
0.55366397,0.4463361,1
0.4929594,0.50704056,1
0.0025707432,0.9974292,1
0.01913302,0.98086697,1
0.0016567641,0.9983432,1
0.7375207,0.26247934,1
0.105759904,0.8942401,1
0.00088503544,0.99911493,1
0.0013940339,0.998606,1
0.56342244,0.43657756,1
0.0011966594,0.9988034,1
0.8033139,0.19668604,1
0.6667279,0.33327204,1
0.62219244,0.3778076,1
0.7816917,0.21830831,1
0.51917845,0.48082158,1
0.62664527,0.3733548,1
0.0015193818,0.9984806,1
0.0019772265,0.9980228,1
0.0013090812,0.9986909,1
0.009130913,0.99086916,1
0.5007569,0.49924302,1
0.6064246,0.3935754,1
0.08521157,0.9147884,1
0.0012274688,0.99877256,1
0.011097846,0.98890215,1
0.011800921,0.9881991,1
0.00088694546,0.999113,1
0.0039785192,0.99602145,1
0.708776,0.29122394,1
0.48140568,0.51859426,1
0.739453,0.26054695,1
0.20427209,0.7957279,1
0.18563572,0.8143643,1
0.63001746,0.36998257,1
0.0017481636,0.99825186,1
0.08378744,0.9162126,1
0.6726096,0.32739037,1
0.6452135,0.35478655,1
0.0022492497,0.9977507,1
0.002685033,0.997315,1
0.004673539,0.9953264,1
0.80047053,0.19952948,1
0.6878345,0.31216556,1
0.0012021649,0.9987978,1
0.0031392302,0.99686074,1
0.011899335,0.98810065,1
0.58928216,0.41071787,1
0.674651,0.32534894,1
0.15773359,0.84226644,1
0.0013832444,0.9986167,1
0.6669209,0.3330791,1
0.7920323,0.20796774,1
0.34727928,0.6527207,1
0.011932595,0.9880674,1
0.003169834,0.99683017,1
0.45964122,0.5403587,1
0.7088782,0.29112178,1
0.57172084,0.42827913,1
0.32230523,0.67769474,1
0.17341636,0.8265836,1
0.02694604,0.973054,1
0.72625947,0.27374053,1
0.5750429,0.4249571,1
0.6095808,0.3904192,1
0.0012168023,0.9987832,1
0.695838,0.30416203,1
0.6307029,0.3692971,1
0.013884975,0.986115,1
0.00070384506,0.9992962,1
0.5815007,0.41849932,1
0.5397421,0.46025792,1
0.6235186,0.37648138,1
0.7797108,0.22028916,1
0.201679,0.79832095,1
0.0009873252,0.9990127,1
0.0014987612,0.9985013,1
0.6746489,0.32535112,1
0.0016539822,0.998346,1
0.6506927,0.34930727,1
0.7032807,0.29671934,1
0.39954895,0.6004511,1
